key,断面,鋼種,lb,幅厚比柱,幅厚比梁,Zxe,Zye,Ae
SH-500x300x12x16x13-SN400,SH-500x300x12x16x13,SN400,5.45,FA,FB,2690,481,153.6
SH-500x300x12x16x13-SN490,SH-500x300x12x16x13,SN490,3.94,FC,FC,2690,481,153.6
SH-500x300x12x19x13-SN400,SH-500x300x12x19x13,SN400,6.48,FA,FA,3060,571,170.9
SH-500x300x12x19x13-SN490,SH-500x300x12x19x13,SN490,4.68,FC,FB,3060,571,170.9
SH-500x300x12x22x13-SN400,SH-500x300x12x22x13,SN400,7.5,FA,FA,3430,661,188.2
SH-500x300x12x22x13-SN490,SH-500x300x12x22x13,SN490,5.42,FB,FA,3430,661,188.2
SH-500x300x12x25x13-SN400,SH-500x300x12x25x13,SN400,8.52,FA,FA,3780,751,205.5
SH-500x300x12x25x13-SN490,SH-500x300x12x25x13,SN490,6.16,FB,FA,3780,751,205.5
SH-500x300x12x28x13-SN400,SH-500x300x12x28x13,SN400,9.54,FA,FA,4130,841,222.7
SH-500x300x12x28x13-SN490,SH-500x300x12x28x13,SN490,6.9,FB,FA,4130,841,222.7
