*,type,シリーズ,key,H,B,t1,t2,r,断面積,単位質量,Ix,Iy,ix,iy,Zx,Zy,ie,η,Zpx,Zpy,t1,t2,lb(SN400),柱(SN400),梁(SN400),Zxe(SN400),Zye(SN400),Ae(SN400),lb(SN490),柱(SN490),梁(SN490),Zxe(SN490),Zye(SN490),Ae(SN490),lb(HBL-H355),柱(HBL-H355),梁(HBL-H355),Zxe(HBL-H355),Zye(HBL-H355),Ae(HBL-H355)
_,SH,800×300,SH-800x300x16x28x18,800,300,16,28,18,289.8,227,309000,12600,32.7,6.6,7730,842,7.85,7.48,8800,1310,16,28,5.96,FC,FA,7730,842,289.8,4.31,FD,FA,7730,842,280.9,3.95,FD,FA,7730,842,276.4
_,SH,800×300,SH-800x300x16x32x18,800,300,16,32,18,312.5,245,340000,14400,33,6.79,8500,962,7.96,6.64,9640,1490,16,32,6.82,FC,FA,8500,962,312.5,4.93,FD,FA,8500,962,304.9,4.51,FD,FA,8500,962,300.4
_,SH,800×300,SH-800x300x16x36x18,800,300,16,36,18,335.3,263,370000,16200,33.2,6.96,9260,1080,8.05,5.97,10500,1670,16,36,7.67,FC,FA,9260,1080,335.3,5.55,FD,FA,9260,1080,328.9,,,,,,
_,SH,800×350,SH-800x350x14x25x18,800,350,14,25,18,282.8,222,316000,17900,33.4,7.95,7900,1020,9.27,8.47,8850,1570,14,25,6.21,FD,FA,7900,1020,276.8,4.49,FD,FB,7900,1020,262.7,4.11,FD,FC,7900,1020,259.3
_,SH,800×350,SH-800x350x14x28x18,800,350,14,28,18,302.9,238,344000,20000,33.7,8.13,8600,1140,9.36,7.64,9610,1750,14,28,6.96,FD,FA,8600,1140,297.8,5.03,FD,FB,8600,1140,283.7,4.61,FD,FC,8600,1140,280.3
_,SH,800×350,SH-800x350x16x25x18,800,350,16,25,18,297.8,234,323000,17900,32.9,7.75,8070,1020,9.17,8.39,9130,1580,16,25,6.21,FC,FA,8070,1020,297.8,4.49,FD,FA,8070,1020,287.9,4.11,FD,FA,8070,1020,283.4
_,SH,800×350,SH-800x350x16x28x18,800,350,16,28,18,317.8,249,351000,20000,33.2,7.94,8770,1150,9.28,7.58,9880,1770,16,28,6.96,FC,FA,8770,1150,317.8,5.03,FD,FA,8770,1150,308.9,4.61,FD,FA,8770,1150,304.4
_,SH,800×350,SH-800x350x16x32x18,800,350,16,32,18,344.5,270,387000,22900,33.5,8.15,9680,1310,9.39,6.71,10900,2010,16,32,7.95,FC,FA,9680,1310,344.5,5.75,FD,FA,9680,1310,336.9,5.26,FD,FA,9680,1310,332.4
_,SH,800×350,SH-800x350x16x36x18,800,350,16,36,18,371.3,291,423000,25800,33.8,8.33,10600,1470,9.49,6.02,11800,2250,16,36,8.95,FC,FA,10600,1470,371.3,6.47,FD,FA,10600,1470,364.9,5.92,FD,FA,10600,1470,360.4
_,SH,800×350,SH-800x350x19x25x18,800,350,19,25,18,320.3,251,333000,17900,32.3,7.48,8340,1020,9.04,8.26,9560,1600,19,25,6.21,FA,FA,8340,1020,320.3,4.49,FC,FA,8340,1020,320.3,4.11,FD,FA,8340,1020,320.3
_,SH,800×350,SH-800x350x19x28x18,800,350,19,28,18,340.1,267,361000,20100,32.6,7.68,9030,1150,9.16,7.48,10300,1790,19,28,6.96,FA,FA,9030,1150,340.1,5.03,FC,FA,9030,1150,340.1,4.61,FD,FA,9030,1150,340.1
_,SH,800×350,SH-800x350x19x32x18,800,350,19,32,18,366.6,288,397000,22900,32.9,7.91,9930,1310,9.29,6.63,11300,2030,19,32,7.95,FA,FA,9930,1310,366.6,5.75,FC,FA,9930,1310,366.6,5.26,FC,FA,9930,1310,366.6
_,SH,800×350,SH-800x350x19x36x18,800,350,19,36,18,393.1,309,433000,25800,33.2,8.1,10800,1470,9.39,5.96,12200,2270,19,36,8.95,FA,FA,10800,1470,393.1,6.47,FC,FA,10800,1470,393.1,5.92,FC,FA,10800,1470,393.1
_,SH,800×350,SH-800x350x19x40x18,800,350,19,40,18,419.6,329,467000,28600,33.4,8.26,11700,1640,9.48,5.42,13200,2520,19,40,9.94,FA,FA,11700,1640,419.6,7.19,FB,FA,11700,1640,419.6,6.58,FC,FA,11700,1640,419.6
*,SH,800×400,SH-800x400x14x25x18,800,400,14,25,18,307.8,242,353000,26700,33.9,9.31,8840,1330,10.7,8.56,9820,2040,14,25,7.1,FD,FA,8840,1330,301.8,5.13,FD,FB,8840,1330,287.7,4.7,FD,FC,8840,1330,284.3
*,SH,800×400,SH-800x400x14x28x18,800,400,14,28,18,330.9,260,386000,29900,34.1,9.5,9640,1490,10.8,7.71,10700,2280,14,28,7.95,FD,FA,9640,1490,325.8,5.75,FD,FB,9640,1490,311.7,5.26,FD,FC,9640,1490,308.3
*,SH,800×400,SH-800x400x16x25x18,800,400,16,25,18,322.8,253,360000,26700,33.4,9.09,9010,1330,10.6,8.48,10100,2050,16,25,7.1,FC,FA,9010,1330,322.8,5.13,FD,FB,9010,1330,312.9,4.7,FD,FB,9010,1330,308.4
*,SH,800×400,SH-800x400x16x28x18,800,400,16,28,18,345.8,271,393000,29900,33.7,9.3,9810,1490,10.7,7.65,11000,2290,16,28,7.95,FC,FA,9810,1490,345.8,5.75,FD,FA,9810,1490,336.9,5.26,FD,FA,9810,1490,332.4
*,SH,800×400,SH-800x400x16x32x18,800,400,16,32,18,376.5,296,435000,34200,34,9.53,10900,1710,10.8,6.77,12100,2610,16,32,9.09,FC,FA,10900,1710,376.5,6.57,FD,FA,10900,1710,368.9,6.02,FD,FA,10900,1710,364.4
*,SH,800×400,SH-800x400x16x36x18,800,400,16,36,18,407.3,320,476000,38400,34.2,9.71,11900,1920,10.9,6.07,13200,2930,16,36,10.2,FC,FA,11900,1920,407.3,7.39,FD,FA,11900,1920,400.9,6.77,FD,FA,11900,1920,396.4
*,SH,800×400,SH-800x400x19x28x18,800,400,19,28,18,368.1,289,403000,29900,33.1,9.01,10100,1500,10.6,7.56,11400,2310,19,28,7.95,FA,FA,10100,1500,368.1,5.75,FC,FA,10100,1500,368.1,5.26,FD,FA,10100,1500,368.1
*,SH,800×400,SH-800x400x19x32x18,800,400,19,32,18,398.6,313,445000,34200,33.4,9.26,11100,1710,10.7,6.7,12500,2630,19,32,9.09,FA,FA,11100,1710,398.6,6.57,FC,FA,11100,1710,398.6,6.02,FC,FA,11100,1710,398.6
*,SH,800×400,SH-800x400x19x36x18,800,400,19,36,18,429.1,337,485000,38400,33.6,9.47,12100,1920,10.8,6.01,13600,2950,19,36,10.2,FA,FA,12100,1920,429.1,7.39,FC,FA,12100,1920,429.1,6.77,FC,FA,12100,1920,429.1
*,SH,800×400,SH-800x400x19x40x18,800,400,19,40,18,459.6,361,525000,42700,33.8,9.64,13100,2140,10.9,5.46,14700,3270,19,40,11.4,FA,FA,13100,2140,459.6,8.22,FB,FA,13100,2140,459.6,7.52,FC,FA,13100,2140,459.6
_,SH,850×250,SH-850x250x14x22x18,850,250,14,22,18,225.6,177,254000,5750,33.6,5.05,5980,460,6.26,9.68,6940,730,14,22,3.68,FD,FA,5980,460,211.8,2.66,FD,FC,5980,460,197.7,2.43,FD,FC,5980,460,194.3
_,SH,850×250,SH-850x250x14x25x18,850,250,14,25,18,239.8,188,277000,6530,34,5.22,6510,523,6.37,8.67,7510,824,14,25,4.18,FD,FA,6510,523,226.8,3.02,FD,FC,6510,523,212.7,2.77,FD,FC,6510,523,209.3
*,SH,850×250,SH-850x250x14x28x18,850,250,14,28,18,253.9,199,299000,7310,34.3,5.37,7040,585,6.47,7.85,8070,917,14,28,4.68,FD,FA,7040,585,241.8,3.38,FD,FC,7040,585,227.7,3.1,FD,FC,7040,585,224.3
_,SH,850×250,SH-850x250x16x22x18,850,250,16,22,18,241.7,190,263000,5760,33,4.88,6180,461,6.16,9.53,7260,742,16,22,3.68,FD,FA,6180,461,241.3,2.66,FD,FA,6180,461,222.9,2.43,FD,FB,6180,461,218.4
_,SH,850×250,SH-850x250x16x25x18,850,250,16,25,18,255.8,201,285000,6540,33.4,5.06,6720,523,6.29,8.55,7830,836,16,25,4.18,FD,FA,6720,523,255.8,3.02,FD,FA,6720,523,237.9,2.77,FD,FB,6720,523,233.4
_,SH,850×250,SH-850x250x16x28x18,850,250,16,28,18,269.8,212,308000,7320,33.8,5.21,7240,586,6.38,7.75,8390,929,16,28,4.68,FD,FA,7240,586,269.8,3.38,FD,FA,7240,586,252.9,3.1,FD,FB,7240,586,248.4
*,SH,850×250,SH-850x250x16x32x18,850,250,16,32,18,288.5,226,337000,8360,34.2,5.38,7920,669,6.49,6.9,9120,1050,16,32,5.35,FD,FA,7920,669,288.5,3.87,FD,FA,7920,669,272.9,3.54,FD,FB,7920,669,268.4
*,SH,850×300,SH-850x300x14x22x18,850,300,14,22,18,247.6,194,292000,9920,34.3,6.33,6870,661,7.67,9.88,7850,1030,14,22,4.41,FD,FA,6870,661,233.8,3.19,FD,FC,6870,661,219.7,2.92,FD,FC,6870,661,216.3
*,SH,850×300,SH-850x300x14x25x18,850,300,14,25,18,264.8,208,319000,11300,34.7,6.52,7520,751,7.79,8.83,8540,1170,14,25,5.01,FD,FA,7520,751,251.8,3.62,FD,FC,7520,751,237.7,3.32,FD,FC,7520,751,234.3
*,SH,850×300,SH-850x300x14x28x18,850,300,14,28,18,281.9,221,347000,12600,35.1,6.69,8160,841,7.89,7.98,9220,1300,14,28,5.61,FD,FA,8160,841,269.8,4.06,FD,FC,8160,841,255.7,3.72,FD,FC,8160,841,252.3
_,SH,850×300,SH-850x300x16x22x18,850,300,16,22,18,263.7,207,301000,9930,33.8,6.14,7070,662,7.57,9.75,8170,1040,16,22,4.41,FD,FA,7070,662,263.3,3.19,FD,FA,7070,662,244.9,2.92,FD,FB,7070,662,240.4
_,SH,850×300,SH-850x300x16x25x18,850,300,16,25,18,280.8,220,328000,11300,34.2,6.34,7720,752,7.7,8.72,8860,1180,16,25,5.01,FD,FA,7720,752,280.8,3.62,FD,FA,7720,752,262.9,3.32,FD,FB,7720,752,258.4
_,SH,850×300,SH-850x300x16x28x18,850,300,16,28,18,297.8,234,355000,12600,34.5,6.51,8350,842,7.8,7.9,9540,1310,16,28,5.61,FD,FA,8350,842,297.8,4.06,FD,FA,8350,842,280.9,3.72,FD,FB,8350,842,276.4
_,SH,850×300,SH-850x300x16x32x18,850,300,16,32,18,320.5,252,390000,14400,34.9,6.71,9180,962,7.92,7.01,10400,1490,16,32,6.42,FD,FA,9180,962,320.5,4.64,FD,FA,9180,962,304.9,4.25,FD,FB,9180,962,300.4
*,SH,850×350,SH-850x350x16x25x18,850,350,16,25,18,305.8,240,370000,17900,34.8,7.65,8720,1020,9.12,8.86,9890,1590,16,25,5.85,FD,FA,8720,1020,305.8,4.23,FD,FA,8720,1020,287.9,3.87,FD,FB,8720,1020,283.4
*,SH,850×350,SH-850x350x16x28x18,850,350,16,28,18,325.8,256,402000,20000,35.1,7.84,9460,1150,9.23,8,10700,1770,16,28,6.55,FD,FA,9460,1150,325.8,4.74,FD,FA,9460,1150,308.9,4.34,FD,FB,9460,1150,304.4
*,SH,850×350,SH-850x350x16x32x18,850,350,16,32,18,352.5,277,444000,22900,35.5,8.06,10400,1310,9.35,7.09,11700,2010,16,32,7.49,FD,FA,10400,1310,352.5,5.41,FD,FA,10400,1310,336.9,4.96,FD,FB,10400,1310,332.4
*,SH,850×350,SH-850x350x19x28x18,850,350,19,28,18,349.6,274,415000,20100,34.4,7.57,9760,1150,9.1,7.89,11200,1790,19,28,6.55,FA,FA,9760,1150,349.6,4.74,FD,FA,9760,1150,349.6,4.34,FD,FA,9760,1150,346.4
*,SH,850×350,SH-850x350x19x32x18,850,350,19,32,18,376.1,295,456000,22900,34.8,7.81,10700,1310,9.23,7.01,12200,2030,19,32,7.49,FA,FA,10700,1310,376.1,5.41,FD,FA,10700,1310,376.1,4.96,FD,FA,10700,1310,374.4
*,SH,850×350,SH-850x350x19x36x18,850,350,19,36,18,402.6,316,496000,25800,35.1,8,11700,1470,9.34,6.3,13200,2280,19,36,8.42,FA,FA,11700,1470,402.6,6.09,FD,FA,11700,1470,402.6,5.57,FD,FA,11700,1470,402.4
*,SH,850×350,SH-850x350x19x40x18,850,350,19,40,18,429.1,337,536000,28600,35.3,8.17,12600,1640,9.43,5.73,14300,2520,19,40,9.36,FA,FA,12600,1640,429.1,6.77,FC,FA,12600,1640,429.1,,,,,,
*,SH,850×400,SH-850x400x16x25x18,850,400,16,25,18,330.8,260,413000,26700,35.3,8.98,9720,1330,10.5,8.96,10900,2050,16,25,6.68,FD,FA,9720,1330,330.8,4.83,FD,FB,9720,1330,312.9,4.42,FD,FB,9720,1330,308.4
*,SH,850×400,SH-850x400x16x28x18,850,400,16,28,18,353.8,278,450000,29900,35.6,9.19,10600,1490,10.7,8.09,11800,2290,16,28,7.49,FD,FA,10600,1490,353.8,5.41,FD,FA,10600,1490,336.9,4.96,FD,FB,10600,1490,332.4
*,SH,850×400,SH-850x400x16x32x18,850,400,16,32,18,384.5,302,497000,34200,36,9.43,11700,1710,10.8,7.16,13000,2610,16,32,8.55,FD,FA,11700,1710,384.5,6.19,FD,FA,11700,1710,368.9,5.66,FD,FB,11700,1710,364.4
*,SH,850×400,SH-850x400x19x28x18,850,400,19,28,18,377.6,296,462000,29900,35,8.9,10900,1500,10.5,7.98,12300,2320,19,28,7.49,FA,FA,10900,1500,377.6,5.41,FD,FA,10900,1500,377.6,4.96,FD,FA,10900,1500,374.4
*,SH,850×400,SH-850x400x19x32x18,850,400,19,32,18,408.1,320,510000,34200,35.3,9.15,12000,1710,10.7,7.08,13500,2630,19,32,8.55,FA,FA,12000,1710,408.1,6.19,FD,FA,12000,1710,408.1,5.66,FD,FA,12000,1710,406.4
*,SH,850×400,SH-850x400x19x36x18,850,400,19,36,18,438.6,344,556000,38400,35.6,9.36,13100,1920,10.8,6.36,14700,2950,19,36,9.62,FA,FA,13100,1920,438.6,6.96,FD,FA,13100,1920,438.6,6.37,FD,FA,13100,1920,438.4
*,SH,850×400,SH-850x400x19x40x18,850,400,19,40,18,469.1,368,602000,42700,35.8,9.54,14200,2140,10.9,5.77,15900,3270,19,40,10.7,FA,FA,14200,2140,469.1,7.73,FC,FA,14200,2140,469.1,,,,,,
_,SH,900×250,SH-900x250x14x19x18,900,250,14,19,18,218.5,172,264000,4970,34.8,4.77,5870,398,6.07,11.5,6900,639,14,19,3,FD,FB,5870,398,196.8,2.17,FD,FD,5870,398,182.7,,,,,,
_,SH,900×250,SH-900x250x14x22x18,900,250,14,22,18,232.6,183,290000,5750,35.3,4.97,6450,460,6.21,10.2,7510,733,14,22,3.47,FD,FB,6450,460,211.8,2.51,FD,FD,6450,460,197.7,2.3,FD,FD,6450,460,194.3
_,SH,900×250,SH-900x250x14x25x18,900,250,14,25,18,246.8,194,316000,6530,35.8,5.15,7020,523,6.33,9.11,8110,826,14,25,3.95,FD,FB,7020,523,226.8,2.85,FD,FD,7020,523,212.7,,,,,,
_,SH,900×250,SH-900x250x16x19x18,900,250,16,19,18,235.7,185,275000,4980,34.1,4.6,6110,399,5.96,11.3,7280,652,16,19,3,FD,FA,6110,399,226.3,2.17,FD,FB,6110,399,207.9,,,,,,
_,SH,900×250,SH-900x250x16x22x18,900,250,16,22,18,249.7,196,301000,5760,34.7,4.8,6680,461,6.11,10,7880,746,16,22,3.47,FD,FA,6680,461,241.3,2.51,FD,FB,6680,461,222.9,2.3,FD,FC,6680,461,218.4
_,SH,900×250,SH-900x250x16x25x18,900,250,16,25,18,263.8,207,326000,6540,35.2,4.98,7250,524,6.24,8.98,8480,839,16,25,3.95,FD,FA,7250,524,256.3,2.85,FD,FB,7250,524,237.9,2.61,FD,FC,7250,524,233.4
_,SH,900×250,SH-900x250x16x28x18,900,250,16,28,18,277.8,218,351000,7320,35.6,5.13,7810,586,6.34,8.15,9070,932,16,28,4.42,FD,FA,7810,586,271.3,3.19,FD,FB,7810,586,252.9,,,,,,
_,SH,900×300,SH-900x300x14x22x18,900,300,14,22,18,254.6,200,333000,9920,36.1,6.24,7390,662,7.62,10.4,8480,1040,14,22,4.17,FD,FB,7390,662,233.8,3.01,FD,FD,7390,662,219.7,2.76,FD,FD,7390,662,216.3
_,SH,900×300,SH-900x300x14x25x18,900,300,14,25,18,271.8,213,364000,11300,36.6,6.44,8080,752,7.74,9.29,9210,1170,14,25,4.73,FD,FB,8080,752,251.8,3.42,FD,FD,8080,752,237.7,,,,,,
_,SH,900×300,SH-900x300x16x19x18,900,300,16,19,18,254.7,200,312000,8580,35,5.81,6930,572,7.35,11.6,8110,914,16,19,3.6,FD,FA,6930,572,245.3,2.6,FD,FB,6930,572,226.9,,,,,,
_,SH,900×300,SH-900x300x16x22x18,900,300,16,22,18,271.7,213,343000,9930,35.5,6.05,7620,662,7.51,10.2,8840,1050,16,22,4.17,FD,FA,7620,662,263.3,3.01,FD,FB,7620,662,244.9,2.76,FD,FC,7620,662,240.4
_,SH,900×300,SH-900x300x16x25x18,900,300,16,25,18,288.8,227,374000,11300,36,6.25,8310,752,7.64,9.17,9570,1180,16,25,4.73,FD,FA,8310,752,281.3,3.42,FD,FB,8310,752,262.9,3.13,FD,FC,8310,752,258.4
_,SH,900×300,SH-900x300x16x28x18,900,300,16,28,18,305.8,240,404000,12600,36.4,6.43,8990,842,7.75,8.31,10300,1320,16,28,5.3,FD,FA,8990,842,299.3,3.83,FD,FB,8990,842,280.9,3.51,FD,FB,8990,842,276.4
_,SH,900×300,SH-900x300x16x32x18,900,300,16,32,18,328.5,258,444000,14400,36.8,6.63,9880,962,7.87,7.38,11200,1500,16,32,6.06,FD,FA,9880,962,323.3,4.38,FD,FB,9880,962,304.9,4.01,FD,FB,9880,962,300.4
_,SH,900×300,SH-900x300x19x22x18,900,300,19,22,18,297.4,233,359000,9950,34.7,5.79,7970,664,7.35,10,9390,1070,19,22,4.17,FC,FA,7970,664,297.4,3.01,FD,FA,7970,664,288.8,2.76,FD,FA,7970,664,282.4
_,SH,900×300,SH-900x300x19x25x18,900,300,19,25,18,314.3,247,389000,11300,35.2,6,8650,754,7.5,9,10100,1210,19,25,4.73,FB,FA,8650,754,314.3,3.42,FD,FA,8650,754,306.8,3.13,FD,FA,8650,754,300.4
_,SH,900×300,SH-900x300x19x28x18,900,300,19,28,18,331.1,260,420000,12700,35.6,6.18,9320,844,7.62,8.17,10800,1340,19,28,5.3,FB,FA,9320,844,331.1,3.83,FD,FA,9320,844,324.8,3.51,FD,FA,9320,844,318.4
_,SH,900×300,SH-900x300x19x32x18,900,300,19,32,18,353.6,278,459000,14500,36,6.39,10200,964,7.76,7.27,11800,1520,19,32,6.06,FB,FA,10200,964,353.6,4.38,FD,FA,10200,964,348.8,4.01,FD,FA,10200,964,342.4
_,SH,900×300,SH-900x300x19x36x18,900,300,19,36,18,376.1,295,498000,16300,36.4,6.57,11100,1080,7.87,6.56,12700,1700,19,36,6.82,FB,FA,11100,1080,376.1,4.93,FD,FA,11100,1080,372.8,4.51,FD,FA,11100,1080,366.4
*,SH,900×350,SH-900x350x16x25x18,900,350,16,25,18,313.8,246,422000,17900,36.7,7.55,9370,1020,9.06,9.32,10700,1590,16,25,5.52,FD,FA,9370,1020,306.3,3.99,FD,FB,9370,1020,287.9,3.66,FD,FC,9370,1020,283.4
*,SH,900×350,SH-900x350x16x28x18,900,350,16,28,18,333.8,262,458000,20000,37,7.75,10200,1150,9.18,8.43,11500,1770,16,28,6.19,FD,FA,10200,1150,327.3,4.47,FD,FB,10200,1150,308.9,4.09,FD,FB,10200,1150,304.4
*,SH,900×350,SH-900x350x16x32x18,900,350,16,32,18,360.5,283,505000,22900,37.4,7.97,11200,1310,9.3,7.47,12600,2020,16,32,7.07,FD,FA,11200,1310,355.3,5.11,FD,FB,11200,1310,336.9,4.68,FD,FB,11200,1310,332.4
*,SH,900×350,SH-900x350x19x25x18,900,350,19,25,18,339.3,266,437000,17900,35.9,7.27,9720,1020,8.91,9.16,11200,1610,19,25,5.52,FB,FA,9720,1020,339.3,3.99,FD,FA,9720,1020,331.8,3.66,FD,FA,9720,1020,325.4
*,SH,900×350,SH-900x350x19x28x18,900,350,19,28,18,359.1,282,473000,20100,36.3,7.47,10500,1150,9.04,8.3,12000,1790,19,28,6.19,FB,FA,10500,1150,359.1,4.47,FD,FA,10500,1150,352.8,4.09,FD,FA,10500,1150,346.4
*,SH,900×350,SH-900x350x19x32x18,900,350,19,32,18,385.6,303,519000,22900,36.7,7.71,11500,1310,9.18,7.38,13200,2040,19,32,7.07,FB,FA,11500,1310,385.6,5.11,FD,FA,11500,1310,380.8,4.68,FD,FA,11500,1310,374.4
*,SH,900×350,SH-900x350x19x36x18,900,350,19,36,18,412.1,323,565000,25800,37,7.91,12600,1470,9.29,6.64,14300,2280,19,36,7.95,FB,FA,12600,1470,412.1,5.75,FD,FA,12600,1470,408.8,5.26,FD,FA,12600,1470,402.4
*,SH,900×350,SH-900x350x19x40x18,900,350,19,40,18,438.6,344,610000,28600,37.3,8.08,13600,1640,9.39,6.03,15300,2530,19,40,8.84,FB,FA,13600,1640,438.6,6.39,FD,FA,13600,1640,436.8,5.85,FD,FA,13600,1640,430.4
*,SH,900×400,SH-900x400x16x25x18,900,400,16,25,18,338.8,266,470000,26700,37.2,8.88,10400,1340,10.5,9.43,11800,2060,16,25,6.31,FD,FA,10400,1340,331.3,4.56,FD,FB,10400,1340,312.9,4.18,FD,FC,10400,1340,308.4
*,SH,900×400,SH-900x400x16x28x18,900,400,16,28,18,361.8,284,511000,29900,37.6,9.09,11400,1490,10.6,8.52,12700,2300,16,28,7.07,FD,FA,11400,1490,355.3,5.11,FD,FB,11400,1490,336.9,4.68,FD,FB,11400,1490,332.4
*,SH,900×400,SH-900x400x16x32x18,900,400,16,32,18,392.5,308,565000,34200,37.9,9.33,12600,1710,10.7,7.54,14000,2620,16,32,8.08,FD,FA,12600,1710,387.3,5.84,FD,FB,12600,1710,368.9,5.35,FD,FB,12600,1710,364.4
*,SH,900×400,SH-900x400x19x28x18,900,400,19,28,18,387.1,304,526000,29900,36.9,8.79,11700,1500,10.5,8.41,13300,2320,19,28,7.07,FB,FA,11700,1500,387.1,5.11,FD,FA,11700,1500,380.8,4.68,FD,FA,11700,1500,374.4
*,SH,900×400,SH-900x400x19x32x18,900,400,19,32,18,417.6,328,580000,34200,37.3,9.05,12900,1710,10.6,7.46,14500,2640,19,32,8.08,FB,FA,12900,1710,417.6,5.84,FD,FA,12900,1710,412.8,5.35,FD,FA,12900,1710,406.4
*,SH,900×400,SH-900x400x19x36x18,900,400,19,36,18,448.1,352,632000,38500,37.6,9.26,14100,1920,10.7,6.7,15800,2960,19,36,9.09,FB,FA,14100,1920,448.1,6.57,FD,FA,14100,1920,444.8,6.02,FD,FA,14100,1920,438.4
*,SH,900×400,SH-900x400x19x40x18,900,400,19,40,18,478.6,376,684000,42700,37.8,9.45,15200,2140,10.8,6.09,17100,3280,19,40,10.1,FB,FA,15200,2140,478.6,7.3,FD,FA,15200,2140,476.8,6.69,FD,FA,15200,2140,470.4
*,SH,950×250,SH-950x250x16x22x18,950,250,16,22,18,257.7,202,342000,5760,36.4,4.73,7190,461,6.06,10.5,8510,749,16,22,3.29,FD,FA,7190,461,241.3,2.38,FD,FC,7190,461,222.9,2.18,FD,FC,7190,461,218.4
*,SH,950×250,SH-950x250x16x25x18,950,250,16,25,18,271.8,213,370000,6550,36.9,4.91,7790,524,6.19,9.4,9150,842,16,25,3.74,FD,FA,7790,524,256.3,2.7,FD,FC,7790,524,237.9,,,,,,
*,SH,950×250,SH-950x250x16x28x18,950,250,16,28,18,285.8,224,398000,7330,37.3,5.06,8390,586,6.29,8.54,9770,936,16,28,2.47,FD,FC,7790,524,233.4,4.19,FD,FA,8390,586,271.3,3.03,FD,FC,8390,586,252.9
*,SH,950×250,SH-950x250x16x32x18,950,250,16,32,18,304.5,239,435000,8370,37.8,5.24,9160,669,6.41,7.61,10600,1060,16,32,2.77,FD,FC,8390,586,248.4,4.78,FD,FA,9160,669,291.3,3.46,FD,FC,9160,669,272.9
*,SH,950×250,SH-950x250x19x25x18,950,250,19,25,18,298.8,235,388000,6570,36.1,4.69,8180,525,6.05,9.2,9750,866,19,25,3.17,FD,FC,9160,669,268.4,3.74,FC,FA,8180,525,298.8,2.7,FD,FA,8180,525,281.8
*,SH,950×250,SH-950x250x19x28x18,950,250,19,28,18,312.6,245,416000,7350,36.5,4.85,8760,588,6.17,8.37,10400,959,19,28,2.47,FD,FA,8180,525,275.4,4.19,FC,FA,8760,588,312.6,3.03,FD,FA,8760,588,296.8
*,SH,950×250,SH-950x250x19x32x18,950,250,19,32,18,331.1,260,453000,8390,37,5.03,9530,671,6.3,7.48,11200,1080,19,32,2.77,FD,FA,8760,588,290.4,4.78,FC,FA,9530,671,331.1,3.46,FD,FA,9530,671,316.8
*,SH,950×250,SH-950x250x19x36x18,950,250,19,36,18,349.6,274,489000,9430,37.4,5.19,10300,754,6.4,6.76,12000,1210,19,36,3.17,FD,FA,9530,671,310.4,5.38,FC,FA,10300,754,349.6,3.89,FD,FA,10300,754,336.8
*,SH,950×250,SH-950x250x19x40x18,950,250,19,40,18,368.1,289,524000,10500,37.7,5.33,11000,838,6.49,6.17,12800,1330,19,40,3.56,FD,FA,10300,754,330.4,5.98,FC,FA,11000,838,368.1,4.32,FD,FA,11000,838,356.8
*,SH,950×300,SH-950x300x16x22x18,950,300,16,22,18,279.7,220,389000,9940,37.3,5.96,8190,662,7.45,10.7,9530,1050,16,22,3.95,FD,FA,8190,662,263.3,2.85,FD,FC,8190,662,244.9,2.61,FD,FC,8190,662,240.4
*,SH,950×300,SH-950x300x16x25x18,950,300,16,25,18,296.8,233,424000,11300,37.8,6.17,8920,752,7.59,9.62,10300,1190,16,25,4.48,FD,FA,8920,752,281.3,3.24,FD,FC,8920,752,262.9,2.97,FD,FC,8920,752,258.4
*,SH,950×300,SH-950x300x16x28x18,950,300,16,28,18,313.8,246,458000,12600,38.2,6.35,9640,842,7.7,8.71,11100,1320,16,28,5.02,FD,FA,9640,842,299.3,3.63,FD,FC,9640,842,280.9,3.33,FD,FC,9640,842,276.4
*,SH,950×300,SH-950x300x16x32x18,950,300,16,32,18,336.5,264,503000,14400,38.7,6.55,10600,962,7.83,7.75,12100,1500,16,32,5.74,FD,FA,10600,962,323.3,4.15,FD,FC,10600,962,304.9,3.8,FD,FC,10600,962,300.4
*,SH,950×300,SH-950x300x19x25x18,950,300,19,25,18,323.8,254,442000,11300,36.9,5.91,9300,754,7.44,9.43,10900,1210,19,25,4.48,FC,FA,9300,754,323.8,3.24,FD,FA,9300,754,306.8,2.97,FD,FA,9300,754,300.4
*,SH,950×300,SH-950x300x19x28x18,950,300,19,28,18,340.6,267,476000,12700,37.4,6.1,10000,844,7.57,8.56,11700,1340,19,28,5.02,FC,FA,10000,844,340.6,3.63,FD,FA,10000,844,324.8,3.33,FD,FA,10000,844,318.4
*,SH,950×300,SH-950x300x19x32x18,950,300,19,32,18,363.1,285,520000,14500,37.8,6.31,11000,964,7.71,7.63,12700,1520,19,32,5.74,FC,FA,11000,964,363.1,4.15,FD,FA,11000,964,348.8,3.8,FD,FA,11000,964,342.4
*,SH,950×300,SH-950x300x19x36x18,950,300,19,36,18,385.6,303,564000,16300,38.2,6.49,11900,1080,7.82,6.88,13700,1700,19,36,6.46,FC,FA,11900,1080,385.6,4.67,FD,FA,11900,1080,372.8,4.28,FD,FA,11900,1080,366.4
*,SH,950×300,SH-950x300x19x40x18,950,300,19,40,18,408.1,320,607000,18100,38.6,6.65,12800,1200,7.91,6.26,14600,1880,19,40,7.18,FC,FA,12800,1200,408.1,5.19,FD,FA,12800,1200,396.8,,,,,,
