*,シリーズ,key,H,B,t1,t2,r,断面積,単位質量,Ix,Iy,ix,iy,Zx,Zy,ie,η,Zpx,Zpy,t1,t2
TRUE,550×300,SH-550x300x9x16x13,550,300,9,16,13,144.1,113,79800,7200,23.5,7.07,2900,480,8.05,9.23,3200,732,9,16
FALSE,550×300,SH-550x300x9x19x13,550,300,9,19,13,161.5,127,91400,8550,23.8,7.28,3320,570,8.16,7.87,3650,866,9,19
FALSE,550×300,SH-550x300x12x16x13,550,300,12,16,13,159.6,125,83300,7210,22.8,6.72,3030,481,7.89,9.04,3410,740,12,16
FALSE,550×300,SH-550x300x12x19x13,550,300,12,19,13,176.9,139,94700,8560,23.1,6.96,3450,571,8.02,7.74,3850,875,12,19
FALSE,550×300,SH-550x300x12x22x13,550,300,12,22,13,194.2,152,106000,9910,23.4,7.14,3850,661,8.12,6.77,4290,1010,12,22
FALSE,550×300,SH-550x300x12x25x13,550,300,12,25,13,211.5,166,117000,11300,23.5,7.3,4250,751,8.2,6.01,4720,1140,12,25
FALSE,550×300,SH-550x300x12x28x13,550,300,12,28,13,228.7,180,127000,12600,23.6,7.42,4640,841,8.26,5.41,5150,1280,12,28
TRUE,550×300,SH-550x300x14x19x13,550,300,14,19,13,187.1,147,97000,8560,22.8,6.76,3530,571,7.94,7.66,3980,882,14,19
TRUE,550×300,SH-550x300x14x22x13,550,300,14,22,13,204.3,160,108000,9910,23,6.97,3930,661,8.05,6.71,4420,1020,14,22
TRUE,550×300,SH-550x300x14x25x13,550,300,14,25,13,221.5,174,119000,11300,23.2,7.13,4320,751,8.13,5.96,4850,1150,14,25
TRUE,550×300,SH-550x300x14x28x13,550,300,14,28,13,238.6,187,129000,12600,23.3,7.27,4710,841,8.2,5.37,5270,1290,14,28
FALSE,550×300,SH-550x300x16x22x13,550,300,16,22,13,214.4,168,110000,9920,22.7,6.8,4010,661,7.98,6.65,4550,1020,16,22
FALSE,550×300,SH-550x300x16x25x13,550,300,16,25,13,231.5,182,121000,11300,22.9,6.98,4400,751,8.07,5.92,4970,1160,16,25
FALSE,550×300,SH-550x300x16x28x13,550,300,16,28,13,248.5,195,131000,12600,23,7.13,4780,841,8.15,5.34,5400,1290,16,28
FALSE,600×200,SH-600x200x9x12x13,600,200,9,12,13,101.3,79.5,57000,1600,23.7,3.98,1900,160,4.95,12.4,2200,253,9,12
FALSE,600×200,SH-600x200x9x16x13,600,200,9,16,13,116.6,91.5,69500,2140,24.4,4.28,2320,214,5.15,9.65,2640,333,9,16
FALSE,600×200,SH-600x200x9x19x13,600,200,9,19,13,128,100,78600,2540,24.8,4.45,2620,254,5.25,8.29,2960,392,9,19
FALSE,600×200,SH-600x200x9x22x13,600,200,9,22,13,139.5,110,87500,2940,25,4.59,2920,294,5.33,7.26,3280,452,9,22
FALSE,600×200,SH-600x200x12x16x13,600,200,12,16,13,133.6,105,74100,2140,23.5,4,2470,214,5,9.37,2880,342,12,16
FALSE,600×200,SH-600x200x12x19x13,600,200,12,19,13,144.9,114,83000,2540,23.9,4.19,2770,254,5.12,8.08,3200,402,12,19
FALSE,600×200,SH-600x200x12x22x13,600,200,12,22,13,156.2,123,91800,2940,24.2,4.34,3060,294,5.21,7.11,3510,461,12,22
FALSE,600×200,SH-600x200x12x25x13,600,200,12,25,13,167.5,131,100000,3340,24.5,4.47,3350,334,5.29,6.34,3820,521,12,25
FALSE,600×200,SH-600x200x12x28x13,600,200,12,28,13,178.7,140,109000,3740,24.7,4.58,3630,374,5.35,5.73,4130,581,12,28
FALSE,600×250,SH-600x250x9x16x13,600,250,9,16,13,132.6,104,83100,4170,25,5.61,2770,334,6.57,9.86,3100,513,9,16
